City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
samarai,UG,-0.61,30.65,63.06800000000004,62,99,1.16
kindu,CO,6.19,-67.49,89.59999999999997,40,58,5.7
rutul,JP,35.13,140.3,56.156000000000006,44,20,8.2
denpasar,TO,-19.8,-174.35,84.19999999999999,74,20,6.2
simpang,PH,13.31,123.34,80.47399999999999,76,48,2.9
moose factory,TZ,-6.17,35.74,64.27399999999994,71,99,2.09
boa vista,RU,59.37,28.61,30.75799999999998,95,0,3.32
beloha,US,34.88,-76.9,67.44199999999995,77,1,3.6
provideniya,IN,25.35,72.62,82.14799999999997,23,94,1.59
sagua la grande,RU,57.67,63.07,36.589999999999975,84,32,1.42
lakes entrance,CI,4.42,-7.35,80.36599999999993,84,89,2.51
sorong,BR,-28.51,-50.93,58.20799999999991,62,52,2.7
hasaki,RU,62.08,32.35,30.091999999999928,97,11,1.39
beidao,US,21.39,-158.15,79.93399999999991,78,75,2.6
the valley,CA,60.75,-137.51,39.18199999999996,66,98,3.66
lavumisa,ID,-9.11,124.89,79.69999999999999,74,59,0.79
japura,AU,-42.91,147.35,61.033999999999935,55,20,7.2
muborak,US,43.19,-112.34,36.75200000000001,29,40,6.7
ubud,VN,9.29,105.72,81.80599999999998,76,88,7.15
port-de-bouc,BY,52.15,25.54,35.45599999999996,77,100,4.27
bubaque,AU,-35.35,150.47,68.89999999999992,43,0,4.6
santa fe,RU,48.1,136.1,40.71199999999999,74,81,4.82
katobu,AZ,40.56,50.01,49.99999999999994,81,75,5.1
boyolangu,HK,22.29,114.16,69.44,52,20,2.1
dingle,US,42.25,-75.83,45.446000000000026,60,90,8.7
svetlogorsk,ID,-8.61,120.47,70.46599999999995,66,84,0.39
niquero,US,46.98,-123.89,57.11000000000007,44,1,4.6
pombas,PH,11.14,123.72,81.94999999999999,76,20,4.8
soyo,US,43.37,-124.22,61.12399999999997,38,1,10.3
san pedro,JP,38.03,140.85,48.18199999999996,37,20,11.3
tarko-sale,RU,68.75,161.3,17.870000000000005,95,96,2.99
kannauj,AU,-41.45,147.17,60.74600000000004,77,90,6.7
tukrah,US,39.49,-80.14,42.81800000000004,52,75,6.7
ukiah,FO,62.23,-6.59,44.599999999999966,87,100,7.7
ahuimanu,IN,16.48,79.43,77.86399999999998,39,0,0.48
vila,AU,-12.23,136.77,85.99999999999994,70,40,6.7
rio grande,CA,43.75,-81.72,38.660000000000025,78,65,9.64
mbarara,TH,15.19,104.86,73.72399999999999,69,100,4.1
puerto carreno,IN,13.42,76.62,73.43599999999998,30,0,1.8
katsuura,US,47.47,-94.88,19.436000000000035,62,1,5.1
pangai,CF,4.96,18.7,75.19999999999999,88,20,1.5
buluang,NZ,-35.17,173.17,64.84999999999997,64,66,10.8
dodoma,AU,-32.72,152.15,70.844,64,1,3.6
kingisepp,IN,23.12,83.2,74.10200000000003,23,0,1.3
havelock,RU,58.84,36.43,43.412000000000035,89,100,1.81
jalor,LK,6.48,79.98,78.20599999999996,85,61,1.55
irbit,KZ,47.8,67.71,41.089999999999975,69,94,5.2
tabou,CA,63.75,-68.51,15.386000000000024,78,90,3.2
vacaria,ID,-8.47,118.72,81.41000000000003,78,50,0.54
suoyarvi,US,29.6,-90.72,69.38600000000002,73,1,2.1
nanakuli,JP,24.8,125.28,67.99999999999994,49,75,4.1
haines junction,EE,58.57,23.51,33.313999999999965,85,75,4.1
atambua,CD,0.52,25.2,71.78000000000003,85,100,0.81
sandy bay,TH,7.92,98.33,82.39999999999992,83,20,3.6
blackfoot,PY,-27.23,-56.22,67.99999999999994,68,90,2.6
bac lieu,ID,-0.95,100.35,79.01600000000002,79,100,0.87
ivanava,GB,55.76,-4.86,33.386000000000024,75,77,1.5
ulladulla,US,45.58,-122.35,64.43599999999998,16,1,3.1
mukhen,KZ,43.91,67.25,49.74799999999999,46,58,9.71
bargal,CI,9.6,-5.2,84.52399999999994,46,35,2.56
nardaran,CN,18.8,110.4,70.39400000000006,70,97,3.01
victoria,RU,52.17,109.77,34.55599999999998,67,100,1.09
yuzhno-yeniseyskiy,MY,4.41,114.01,84.19999999999999,83,75,3.1
broome,CN,39.7,119.15,60.26000000000005,32,12,2.87
ruteng,RU,70.02,135.6,2.2100000000000364,87,37,1.76
hoquiam,ID,-9.66,120.26,82.47200000000004,74,64,0.9
sulangan,RU,51.02,45.7,37.00400000000002,73,26,0.89
coos bay,GA,-3.43,10.66,79.86200000000002,82,52,1.47
watari,PF,-17.51,-149.49,89.59999999999997,66,40,2.6
cherskiy,AU,-28.65,153.62,74.74999999999994,57,10,1.0
launceston,OM,17.02,54.09,80.59999999999997,74,40,3.1
fairmont,CN,41.12,80.26,58.55000000000001,21,82,0.51
klaksvik,BE,50.45,5.3,36.03199999999998,59,0,2.1
macherla,US,37.34,-121.89,65.55200000000008,52,20,6.2
nhulunbuy,PL,51.38,20.28,32.43199999999996,67,73,25.03
goderich,RU,59.43,62.35,40.406000000000006,94,97,2.92
warin chamrap,AO,-12.38,16.93,59.89999999999992,59,100,0.96
chiknayakanhalli,TM,39.21,54.59,47.31800000000004,70,7,1.26
bemidji,IN,13.22,80.32,79.07,94,20,1.0
damara,KZ,43.3,52.8,38.94799999999998,63,0,2.99
ahipara,NA,-26.65,15.16,60.80000000000001,59,0,9.3
nelson bay,MV,2.67,72.89,85.22600000000006,64,56,2.18
ambikapur,IS,64.89,-23.71,39.686000000000035,72,95,17.49
ustyuzhna,CN,30.42,103.46,58.99999999999994,93,20,1.0
beruwala,IN,21.12,70.12,80.32999999999998,55,39,4.35
zhezkazgan,RU,49.22,143.12,34.24999999999994,84,19,1.17
iqaluit,AF,36.41,64.91,53.762,73,100,2.33
bima,US,44.53,-109.06,25.44799999999998,53,75,6.7
houma,NZ,-46.13,167.68,46.99400000000003,71,74,8.94
hirara,CN,27.32,103.72,46.70599999999996,44,55,2.24
virtsu,KZ,48.68,71.64,44.43799999999999,64,39,2.99
kisangani,FR,45.39,4.29,52.88000000000005,62,100,1.0
kathu,PH,8.0,124.29,78.40400000000005,47,0,0.55
carmen del parana,CF,4.94,15.87,72.55400000000003,68,8,0.56
padang,US,35.76,-83.97,49.83800000000002,57,75,3.1
fairlie,BR,-4.28,-55.98,74.13799999999998,96,100,1.29
washougal,RU,66.77,123.37,12.18199999999996,92,70,0.24
zhanakorgan,RU,58.43,58.26,28.47199999999998,95,25,1.23
ferkessedougou,AU,-33.18,138.02,78.80000000000001,19,4,5.7
wanning,US,33.08,-83.23,65.69599999999997,72,1,1.5
khorinsk,RU,50.72,136.63,34.89799999999997,75,100,6.41
cheuskiny,BR,-32.24,-53.09,60.00799999999998,87,100,2.68
miri,CL,-35.33,-72.42,55.363999999999976,58,42,4.63
changli,RU,62.53,155.8,18.355999999999995,87,83,1.3
ust-kuyga,MN,46.68,113.28,48.99199999999996,27,99,2.16
talawdi,GL,61.99,-49.67,29.73199999999997,94,100,3.08
waingapu,CA,54.77,-101.86,17.420000000000016,90,100,3.83
krasnoarmeysk,IN,16.27,81.17,77.036,81,0,1.47
mayumba,RU,62.88,152.43,22.927999999999997,90,99,0.78
mahina,CV,14.92,-23.51,71.59999999999997,78,88,4.6
byron bay,RU,51.93,43.5,40.51400000000001,68,41,4.12
salalah,US,33.19,-82.53,66.66800000000006,82,1,2.3
aksu,PH,20.45,121.97,69.04400000000004,73,100,9.94
modave,GL,64.18,-51.72,28.202000000000055,79,100,7.7
san jose,AU,-37.81,144.89,65.87600000000003,59,40,4.6
mys shmidta,CL,-41.87,-73.82,49.99999999999994,100,90,0.5
kuche,RU,65.99,57.53,21.937999999999988,95,55,3.05
opoczno,NO,70.98,25.97,34.322,86,87,8.59
gari,RU,63.28,118.33,30.596000000000004,92,0,1.4
kuito,ID,-7.43,111.02,76.99999999999994,94,34,1.5
gumdag,TC,21.46,-71.14,78.9260000000001,81,0,9.34
kattivakkam,US,34.14,-116.05,68.75600000000003,28,40,3.6
zhanaozen,GF,4.93,-52.33,80.59999999999997,69,60,2.1
luderitz,RU,52.86,103.17,37.47199999999998,61,93,1.22
kudahuvadhoo,TR,39.92,33.23,37.95799999999997,69,0,0.5
olafsvik,KZ,49.63,72.85,37.39999999999998,53,0,3.0
linqiong,RU,62.71,56.2,24.69199999999995,96,17,2.04
mangrol,MU,-19.98,57.61,76.37000000000006,78,40,4.6
poronaysk,RU,53.75,127.27,40.47800000000001,58,0,2.23
dawlatabad,IT,40.22,18.17,54.96800000000002,93,5,5.1
cody,RU,59.57,150.8,25.196000000000026,95,95,1.13
tuatapere,KE,1.75,40.06,80.74400000000009,70,98,6.17
zhaotong,RU,56.57,37.43,49.99999999999994,34,98,5.0
atasu,PK,25.37,68.31,79.08800000000002,49,85,6.57
firminy,GB,50.12,-5.54,47.55200000000002,70,13,9.3
chagda,ZM,-16.81,26.95,62.87000000000006,40,16,0.99
louisbourg,US,42.16,-72.33,58.01000000000005,100,75,3.6
