City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
fairbanks,2.53,76.892,31,5,1.75
vardo,37.83,55.976000000000056,66,15,2.6
lensk,49.75,13.999999999999943,85,1,1.5
pingzhuang,-25.17,79.52000000000004,60,29,2.86
yakshur-bodya,6.55,73.382,92,26,1.31
alta floresta,-2.57,85.06400000000002,72,99,4.25
novaya bryan,33.67,70.844,76,87,2.92
trairi,56.85,31.56800000000004,73,34,0.42
hervey bay,42.08,45.94999999999993,100,75,1.5
nurota,-0.95,79.52000000000004,74,100,1.89
toliary,41.12,49.99999999999994,61,1,2.1
kamenka,61.92,20.389999999999986,93,100,9.56
dzhusaly,50.24,44.13199999999995,54,7,6.68
manta,9.75,72.49999999999994,88,55,1.73
olavarria,-15.72,87.80000000000001,62,20,3.6
honningsvag,-27.37,49.83800000000002,64,0,2.11
dien bien,-21.12,63.428000000000054,77,79,2.06
mingshui,2.02,94.87399999999997,41,70,1.21
villa maria,51.13,41.34199999999993,46,34,0.39
takoradi,47.13,49.24400000000003,39,1,3.6
hihifo,66.5,37.39999999999998,69,100,6.7
red bluff,51.37,51.06200000000001,29,0,3.5
nioro,43.71,48.19999999999993,87,1,1.5
navolato,70.66,34.322,81,75,4.1
the valley,34.77,62.51000000000005,72,40,1.5
shitanjing,18.61,81.89600000000002,64,19,4.32
altay,46.2,43.97000000000003,52,0,2.1
stromness,39.72,42.799999999999955,60,20,6.2
tucuman,68.31,20.444000000000017,88,95,4.87
